boundary,t_s,kind,duration_frames,world,first_motion,evidence,seen,at_gap,gap_s
17,160.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.48
18,168.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
19,175.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
20,191.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
21,203.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.82
22,208.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.7
23,231.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.66
24,240.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
25,248.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.96
26,262.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.36
27,274.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.64
28,283.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
29,291.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.36
30,297.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.38
31,304.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.88
32,316.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
33,320.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
34,324.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
35,341.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.6
36,352.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.38
37,360.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
38,374.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,1.04
39,384.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
40,391.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.86
41,412.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.66
42,417.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
43,428.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
44,447.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.34
45,454.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
46,458.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,1.12
47,473.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.42
48,482.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.52
49,490.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.2
50,503.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
51,511.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
52,513.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.68
53,530.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.94
54,547.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.86
55,553.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.5
56,571.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
57,577.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.44
58,588.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.52
59,605.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.38
60,612.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
61,616.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.44
62,631.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
63,639.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
64,648.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
65,660.4,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.42
66,671.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
67,674.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.52
68,689.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.34
69,691.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
70,699.6,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
71,710.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
72,717.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.38
73,726.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.36
74,741.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
75,750.3,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
76,752.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.26
77,774.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.56
78,784.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
79,797.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
80,812.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.64
81,814.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.36
82,823.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.64
83,834.8,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
84,842.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
85,851.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.58
86,867.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
87,874.1,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
88,885.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.92
89,898.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
90,903.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.3
91,914.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
92,926.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
93,933.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.22
94,938.2,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.56
95,959.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.4
96,968.9,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.46
97,980.0,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.82
98,997.5,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,yes,0.62
99,1002.7,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,no,0.0
